Table,Unit,Variety,Year,Attribute,Value
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Illinois,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Indiana,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Iowa,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Kansas,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Michigan,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Minnesota,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Missouri,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Nebraska,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,North Dakota,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Ohio,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,South Dakota,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Texas,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Wisconsin,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,Other States,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2015,U.S.,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Illinois,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Indiana,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Iowa,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Kansas,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Michigan,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Minnesota,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Missouri,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Nebraska,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,North Dakota,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Ohio,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,South Dakota,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Texas,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Wisconsin,17
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,Other States,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2016,U.S.,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Illinois,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Indiana,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Iowa,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Kansas,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Michigan,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Minnesota,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Missouri,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Nebraska,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,North Dakota,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Ohio,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,South Dakota,17
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Texas,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Wisconsin,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,Other States,17
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2017,U.S.,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Illinois,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Indiana,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Iowa,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Kansas,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Michigan,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Minnesota,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Missouri,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Nebraska,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,North Dakota,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Ohio,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,South Dakota,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Texas,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Wisconsin,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,Other States,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2018,U.S.,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Illinois,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Indiana,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Iowa,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Kansas,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Michigan,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Minnesota,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Missouri,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Nebraska,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,North Dakota,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Ohio,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,South Dakota,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Texas,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Wisconsin,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,Other States,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2019,U.S.,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Illinois,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Indiana,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Iowa,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Kansas,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Michigan,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Minnesota,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Missouri,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Nebraska,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,North Dakota,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Ohio,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,South Dakota,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Texas,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Wisconsin,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,Other States,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only                                           ,2020,U.S.,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Illinois,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Indiana,*
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Iowa,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Kansas,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Michigan,*
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Minnesota,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Missouri,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Nebraska,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,North Dakota,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Ohio,*
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,South Dakota,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Texas,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Wisconsin,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,Other States,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2000,U.S.,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Illinois,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Indiana,*
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Iowa,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Kansas,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Michigan,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Minnesota,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Missouri,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Nebraska,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,North Dakota,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Ohio,*
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,South Dakota,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Texas,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Wisconsin,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,Other States,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2001,U.S.,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Illinois,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Indiana,*
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Iowa,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Kansas,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Michigan,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Minnesota,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Missouri,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Nebraska,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,North Dakota,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Ohio,*
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,South Dakota,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Texas,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Wisconsin,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,Other States,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2002,U.S.,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Illinois,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Indiana,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Iowa,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Kansas,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Michigan,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Minnesota,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Missouri,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Nebraska,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,North Dakota,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Ohio,*
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,South Dakota,17
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Texas,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Wisconsin,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,Other States,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2003,U.S.,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Illinois,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Indiana,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Iowa,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Kansas,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Michigan,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Minnesota,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Missouri,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Nebraska,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,North Dakota,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Ohio,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,South Dakota,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Texas,.
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Wisconsin,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,Other States,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2004,U.S.,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Illinois,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Indiana,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Iowa,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Kansas,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Michigan,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Minnesota,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Missouri,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Nebraska,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,North Dakota,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Ohio,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,South Dakota,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Texas,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Wisconsin,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,Other States,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2005,U.S.,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Illinois,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Indiana,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Iowa,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Kansas,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Michigan,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Minnesota,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Missouri,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Nebraska,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,North Dakota,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Ohio,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,South Dakota,34
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Texas,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Wisconsin,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,Other States,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2006,U.S.,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Illinois,40
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Indiana,30
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Iowa,37
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Kansas,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Michigan,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Minnesota,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Missouri,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Nebraska,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,North Dakota,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Ohio,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,South Dakota,43
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Texas,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Wisconsin,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,Other States,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2007,U.S.,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Illinois,52
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Indiana,55
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Iowa,53
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Kansas,35
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Michigan,33
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Minnesota,40
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Missouri,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Nebraska,35
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,North Dakota,31
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Ohio,37
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,South Dakota,58
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Texas,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Wisconsin,35
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,Other States,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2008,U.S.,40
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Illinois,59
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Indiana,55
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Iowa,57
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Kansas,38
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Michigan,42
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Minnesota,41
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Missouri,37
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Nebraska,42
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,North Dakota,41
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Ohio,35
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,South Dakota,65
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Texas,33
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Wisconsin,37
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,Other States,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2009,U.S.,46
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Illinois,52
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Indiana,56
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Iowa,61
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Kansas,40
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Michigan,44
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Minnesota,46
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Missouri,45
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Nebraska,45
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,North Dakota,37
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Ohio,36
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,South Dakota,60
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Texas,40
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Wisconsin,38
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,Other States,31
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2010,U.S.,47
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Illinois,55
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Indiana,56
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Iowa,61
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Kansas,42
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Michigan,52
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Minnesota,48
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Missouri,36
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Nebraska,52
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,North Dakota,39
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Ohio,37
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,South Dakota,64
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Texas,42
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Wisconsin,41
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,Other States,36
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2011,U.S.,49
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Illinois,53
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Indiana,60
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Iowa,64
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Kansas,51
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Michigan,52
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Minnesota,47
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Missouri,48
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Nebraska,55
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,North Dakota,43
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Ohio,43
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,South Dakota,62
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Texas,44
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Wisconsin,53
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,Other States,41
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,U.S.,52
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,Illinois,78
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,Indiana,73
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,Iowa,72
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,Kansas,69
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,Michigan,71
