Year,Period,State,Data Item,Value
2019,YEAR,Wisconsin,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",7624000
2019,YEAR,Wyoming,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",1504000
2019,YEAR - JUN ACREAGE,Alabama,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",2170000
2019,YEAR - JUN ACREAGE,Alaska,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",26000
2019,YEAR - JUN ACREAGE,Arizona,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",641000
2019,YEAR - JUN ACREAGE,Arkansas,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",7024000
2019,YEAR - JUN ACREAGE,California,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",2855000
2019,YEAR - JUN ACREAGE,Colorado,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",6176000
2019,YEAR - JUN ACREAGE,Connecticut,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",77000
2019,YEAR - JUN ACREAGE,Delaware,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",449000
2019,YEAR - JUN ACREAGE,Florida,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",1047000
2019,YEAR - JUN ACREAGE,Georgia,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",3250000
2019,YEAR - JUN ACREAGE,Idaho,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",4016000
2019,YEAR - JUN ACREAGE,Illinois,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",22455000
2019,YEAR - JUN ACREAGE,Indiana,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",11690000
2019,YEAR - JUN ACREAGE,Iowa,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",23995000
2019,YEAR - JUN ACREAGE,Kansas,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",23049000
2019,YEAR - JUN ACREAGE,Kentucky,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",5983000
2019,YEAR - JUN ACREAGE,Louisiana,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",3165000
2019,YEAR - JUN ACREAGE,Maine,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",220000
2019,YEAR - JUN ACREAGE,Maryland,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",1625000
2019,YEAR - JUN ACREAGE,Massachusetts,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",85000
2019,YEAR - JUN ACREAGE,Michigan,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",6225000
2019,YEAR - JUN ACREAGE,Minnesota,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",18903000
2019,YEAR - JUN ACREAGE,Mississippi,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",4055000
2019,YEAR - JUN ACREAGE,Missouri,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",13093000
2019,YEAR - JUN ACREAGE,Montana,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",9532000
2019,YEAR - JUN ACREAGE,Nebraska,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",19194000
2019,YEAR - JUN ACREAGE,Nevada,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",429000
2019,YEAR - JUN ACREAGE,New Hampshire,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",59000
2019,YEAR - JUN ACREAGE,New Jersey,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",293000
2019,YEAR - JUN ACREAGE,New Mexico,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",822000
2019,YEAR - JUN ACREAGE,New York,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",2782000
2019,YEAR - JUN ACREAGE,North Carolina,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",4303000
2019,YEAR - JUN ACREAGE,North Dakota,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",23646000
2019,YEAR - JUN ACREAGE,Ohio,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",9490000
2019,YEAR - JUN ACREAGE,Oklahoma,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",9974000
2019,YEAR - JUN ACREAGE,Oregon,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",2007000
2019,YEAR - JUN ACREAGE,Other States,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",1150000
2019,YEAR - JUN ACREAGE,Pennsylvania,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",3636000
2019,YEAR - JUN ACREAGE,Rhode Island,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",9000
2019,YEAR - JUN ACREAGE,South Carolina,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",1530000
2019,YEAR - JUN ACREAGE,South Dakota,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",15146000
2019,YEAR - JUN ACREAGE,Tennessee,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",4950000
2019,YEAR - JUN ACREAGE,Texas,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",20716000
2019,YEAR - JUN ACREAGE,Utah,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",907000
2019,YEAR - JUN ACREAGE,Vermont,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",247000
2019,YEAR - JUN ACREAGE,Virginia,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",2608000
2019,YEAR - JUN ACREAGE,Washington,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",3557000
2019,YEAR - JUN ACREAGE,West Virginia,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",546000
2019,YEAR - JUN ACREAGE,Wisconsin,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",7991000
2019,YEAR - JUN ACREAGE,Wyoming,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",1513000
2019,YEAR - MAR ACREAGE,Alabama,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",2180000
2019,YEAR - MAR ACREAGE,Alaska,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",27000
2019,YEAR - MAR ACREAGE,Arizona,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",588000
2019,YEAR - MAR ACREAGE,Arkansas,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",7254000
2019,YEAR - MAR ACREAGE,California,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",2795000
2019,YEAR - MAR ACREAGE,Colorado,"FIELD CROP TOTALS, PRINCIPAL, INCL POTATOES - ACRES PLANTED",6039000
