DATE,WPU012202
2000-01-01,76.3916666666666667
2001-01-01,78.7750000000000000
2002-01-01,89.3583333333333333
2003-01-01,93.7750000000000000
2004-01-01,97.5166666666666667
2005-01-01,75.9333333333333333
2006-01-01,95.5583333333333333
2007-01-01,141.4416666666666667
2008-01-01,199.0833333333333333
2009-01-01,146.8750000000000000
2010-01-01,160.8583333333333333
2011-01-01,267.3000000000000000
2012-01-01,278.7833333333333333
2013-01-01,243.9500000000000000
2014-01-01,163.1666666666666667
2015-01-01,149.6000000000000000
2016-01-01,137.7250000000000000
2017-01-01,136.1000000000000000
2018-01-01,140.9833333333333333
2019-01-01,151.3750000000000000
