"SAGDP9N Real GDP by state 1/"
"Real GDP by state: Farms (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"28000","Mississippi",1885.6,1823.3,1848.1,1804.1,2025.7,1520.3,2148.4,2834.9,2746.9,1770.2,1765.3,1573.9,2045.7,2168.4,1375.8,1414.2,2744.9,2194.3,2213.0,2200.2,2987.0,2990.4,2265.1
"29000","Missouri",2645.2,1969.4,1435.1,2355.8,2174.6,2266.3,2932.8,4470.8,3593.5,4057.0,3283.7,4145.8,4786.5,3955.3,3859.2,3008.3,4336.4,5129.4,3729.3,4643.8,4358.7,4123.6,4254.7
"30000","Montana",905.5,885.3,947.6,896.0,905.3,1065.3,1112.6,1378.4,1638.4,1231.8,1319.2,1495.8,1724.0,1768.1,1505.8,1625.5,1878.4,2001.6,2323.3,2468.3,1620.7,2305.4,2623.0
"31000","Nebraska",4301.3,3845.4,3322.5,3587.8,3874.4,3823.9,6179.0,5637.3,6286.6,5343.5,5865.8,6454.2,7842.8,7491.1,9571.9,7277.9,9582.3,9112.2,10166.7,10409.6,7479.1,8425.8,9203.1
"32000","Nevada",184.2,227.8,246.0,325.9,302.4,273.9,260.6,288.7,354.6,387.5,236.8,317.3,371.4,351.6,344.7,253.5,264.9,379.1,360.6,344.5,361.4,372.9,531.1
"33000","New Hampshire",102.0,111.3,133.1,148.6,129.6,136.7,135.7,142.2,155.0,155.8,121.2,155.9,156.2,143.8,117.5,138.1,148.6,143.8,180.1,173.4,170.4,172.8,185.0
"34000","New Jersey",579.6,628.4,637.2,893.2,705.5,815.6,787.8,753.8,914.7,1090.1,821.6,733.4,932.7,793.2,668.3,636.3,613.2,600.1,809.7,907.3,825.7,787.0,1031.7
"35000","New Mexico",1061.6,1124.2,1347.9,1344.8,1522.0,1292.8,1205.6,1518.1,1779.6,1512.5,1478.0,1337.0,1226.3,1665.1,1506.1,1293.3,1265.0,1582.9,1543.5,1963.9,1811.3,1783.9,2065.3
"36000","New York",1503.3,1902.3,2214.1,2483.4,2526.6,2280.7,2264.8,2461.1,2856.8,2884.9,2665.3,2970.0,2843.3,3217.1,2877.2,2534.8,2911.9,3290.8,2974.2,3227.6,3419.7,3266.9,3990.2
"37000","North Carolina",5077.2,4149.1,4145.8,6226.6,5854.6,3667.1,3692.8,4862.3,5705.5,5648.0,4019.5,4091.7,5323.4,4745.6,3209.7,3799.8,4303.2,5029.7,5498.0,5552.1,6143.8,5160.5,4636.4
"38000","North Dakota",1309.1,1900.2,1258.4,1671.0,1393.9,1973.8,2743.8,2012.8,2179.8,2456.1,3010.2,3923.1,4108.9,3680.7,3023.9,4821.0,3337.2,3092.5,3240.4,4142.1,3989.8,4606.0,3909.9
"39000","Ohio",3401.2,2914.1,2239.5,3219.0,2726.9,2739.0,2780.7,3434.1,3220.3,3558.0,3060.0,3059.0,4511.3,3780.3,4265.0,3403.5,4520.6,4238.5,3397.9,3532.5,4299.6,5307.0,3976.5
"40000","Oklahoma",1858.6,1611.7,2075.6,2619.1,2195.9,2819.1,2586.4,3059.4,3459.4,2758.3,2084.7,2329.2,1882.5,2628.3,2608.4,2854.1,2791.7,3468.6,3794.5,3464.0,3623.9,3845.2,3903.5
"41000","Oregon",2314.8,2165.5,2432.0,2801.9,2526.2,2789.0,2882.6,2840.0,3251.7,3876.7,2739.7,2737.2,3160.6,2531.4,2267.1,2269.5,2502.3,2786.9,3390.3,4157.5,3262.9,3643.6,3939.2
"42000","Pennsylvania",2324.3,2644.3,2812.2,3641.0,3193.7,2811.2,3311.6,3581.5,3967.5,3986.6,3265.8,3111.7,3309.1,3395.0,3133.9,3135.7,3468.0,4250.6,3908.7,3495.4,4074.2,3727.1,4302.5
"44000","Rhode Island",37.7,38.0,42.3,49.2,48.3,60.2,57.9,57.4,62.9,66.8,43.5,63.5,75.3,66.9,49.6,44.1,46.3,46.1,61.9,59.8,64.4,66.0,67.3
"45000","South Carolina",997.7,833.5,941.0,1281.3,1331.1,833.4,1268.2,1376.3,1354.6,1279.0,759.1,918.8,1268.7,1161.9,768.4,799.9,1043.4,738.8,856.6,969.0,1043.6,1002.8,868.2
"46000","South Dakota",2278.6,2338.7,2155.8,2738.2,2256.3,1899.5,2964.2,3386.2,2909.4,2260.0,3162.4,3971.1,4622.4,3747.9,4937.8,4123.2,5031.7,4482.3,4708.4,4763.2,4437.9,5343.2,4864.6
"47000","Tennessee",1292.0,1108.6,916.5,1405.7,1384.0,1162.8,1372.2,1489.9,1602.9,1683.9,791.2,1335.0,1846.4,1397.4,1516.7,1105.0,1809.1,1472.2,1843.7,1592.0,1610.4,1456.5,1555.4
"48000","Texas",7381.3,6990.5,8972.0,9396.6,8617.0,10601.7,11601.3,11435.4,11351.0,9984.3,8449.6,6197.9,6817.1,10599.2,7273.3,6704.5,9197.4,9581.1,14256.2,12071.7,12353.9,12878.1,11814.4
"49000","Utah",533.1,601.2,684.0,723.7,805.9,666.9,646.8,749.8,826.1,688.6,575.6,582.3,505.7,702.6,734.6,647.6,868.7,1044.6,1206.1,1140.8,1101.7,1181.9,1419.2
"50000","Vermont",278.9,329.7,377.5,418.6,400.7,336.1,348.9,396.4,480.9,391.8,425.9,450.6,381.5,439.8,425.2,376.5,425.4,537.9,476.0,522.2,504.4,479.2,590.9
"51000","Virginia",1261.0,1311.0,1277.7,1789.8,1501.0,1388.2,1204.2,1672.2,1917.8,1700.8,1244.4,1330.8,1717.2,1464.1,1470.6,1297.5,1497.4,1629.1,1769.1,1739.2,1953.1,1811.7,1858.1
"53000","Washington",3482.5,3683.4,3725.1,4689.0,3951.9,4604.0,5255.0,4644.8,5018.5,5515.6,5024.0,4557.7,5826.1,5229.5,5216.8,5055.9,4963.8,5314.7,7637.7,7990.2,7264.4,7748.0,8015.2
"54000","West Virginia",138.3,151.3,132.9,198.2,208.0,132.8,150.9,207.8,236.6,200.8,110.7,160.8,199.9,190.2,201.9,156.9,218.2,246.5,273.8,282.8,359.1,336.4,351.9
"55000","Wisconsin",3254.3,3786.4,3872.2,3656.4,4147.8,4239.5,4323.4,4692.6,4843.1,4988.2,4915.4,4241.2,4029.2,4736.3,4966.9,4513.8,4854.2,5609.2,6254.7,6086.2,5877.3,6208.8,6679.5
"56000","Wyoming",515.8,399.0,548.2,574.9,587.3,455.5,572.3,530.6,611.3,602.1,372.1,500.4,615.1,612.2,749.3,500.7,637.2,747.0,853.3,903.9,808.7,924.2,1029.6
"91000","New England",1394.8,1535.1,1771.7,2145.0,1848.0,1836.3,1739.4,1789.5,2057.5,2056.6,1722.0,1918.7,2105.0,2079.3,1686.4,1680.7,1745.6,1705.9,1908.5,1907.3,1901.4,1932.3,2294.7
