"SAGDP9N Real GDP by state 1/"
"Real GDP by state: Agriculture, forestry, fishing and hunting (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"28000","Mississippi",2319.8,2261.7,2336.5,2246.7,2528.4,2085.1,2744.7,3416.9,3305.0,2409.7,2301.3,2089.2,2484.5,2603.2,1847.1,1902.1,3202.8,2672.9,2721.1,2711.6,3409.2,3455.7,2866.1
"29000","Missouri",3010.2,2314.6,1806.1,2721.6,2648.4,2722.9,3396.1,4887.9,3948.8,4444.4,3615.8,4502.0,5110.6,4299.5,4169.6,3341.1,4651.6,5449.6,4096.8,4970.2,4705.2,4497.0,4664.0
"30000","Montana",1087.1,1078.8,1134.4,1098.5,1117.3,1290.0,1345.7,1598.7,1841.1,1483.2,1547.0,1721.6,1914.5,1942.2,1694.7,1834.4,2081.1,2213.0,2550.1,2687.3,1907.9,2543.6,2856.2
"31000","Nebraska",4412.6,3974.1,3462.2,3735.2,4048.1,3982.2,6291.7,5741.3,6412.1,5550.3,6071.1,6677.9,8075.1,7750.4,9840.8,7575.1,9876.1,9408.3,10449.0,10695.2,7815.3,8735.6,9526.4
"32000","Nevada",217.2,258.0,282.0,353.6,331.6,307.2,292.9,319.2,382.8,420.9,270.3,357.2,418.3,388.1,384.3,294.8,302.0,416.1,395.1,378.3,395.2,409.5,558.2
"33000","New Hampshire",159.5,171.9,206.7,223.9,218.9,224.1,240.6,241.5,225.1,241.9,191.6,215.5,213.7,204.9,190.5,221.9,221.6,227.3,264.7,258.0,259.5,237.7,252.4
"34000","New Jersey",758.6,770.0,793.1,1057.5,892.7,995.9,967.3,918.7,1052.6,1238.3,973.1,887.3,1116.3,962.9,840.1,824.3,776.8,786.3,1013.4,1156.1,1095.2,1064.3,1291.4
"35000","New Mexico",1168.2,1229.5,1446.9,1460.9,1655.8,1429.0,1345.8,1654.9,1910.1,1666.1,1608.7,1467.0,1364.4,1778.4,1622.6,1416.4,1384.5,1709.7,1686.2,2102.8,1962.3,1938.9,2219.9
"36000","New York",1848.4,2186.6,2505.5,2777.0,2843.1,2606.5,2611.2,2809.3,3218.1,3321.7,3039.2,3355.1,3200.1,3558.5,3209.1,2872.8,3232.4,3622.1,3361.4,3590.5,3777.7,3585.8,4280.7
"37000","North Carolina",5465.8,4600.1,4598.9,6529.9,6299.1,4285.2,4344.2,5447.4,6206.8,6294.1,4701.3,4765.7,6012.9,5460.6,3951.2,4602.4,5082.3,5822.6,6299.4,6323.6,6820.0,5883.5,5470.6
"38000","North Dakota",1408.4,1988.6,1361.6,1794.4,1513.5,2079.6,2854.7,2133.5,2300.0,2582.1,3104.1,4025.2,4213.5,3806.8,3148.8,4959.3,3470.1,3231.5,3389.6,4280.8,4136.3,4728.8,4069.8
